"name","version","status","serverId","versionId","publishedAt","updatedAt","isLatest"
,,,,,"09/29/2025 14:04:13","09/29/2025 14:04:13","True"
,,,,,"09/29/2025 21:24:56","09/29/2025 21:24:56","True"
,,,,,"09/30/2025 00:21:20","09/30/2025 00:21:20","True"
,,,,,"09/30/2025 15:08:39","09/30/2025 15:08:39","True"
,,,,,"09/30/2025 17:11:31","09/30/2025 17:11:31","True"
,,,,,"10/02/2025 04:20:15","10/02/2025 04:20:15","True"
,,,,,"10/02/2025 06:39:58","10/02/2025 06:39:58","True"
,,,,,"10/02/2025 06:57:33","10/02/2025 06:57:33","True"
,,,,,"10/02/2025 07:15:10","10/02/2025 07:15:10","True"
,,,,,"10/02/2025 08:35:12","10/02/2025 08:35:12","True"
